DATE,CCLDCBW027SBOG
2011-03-09,599.9464
2011-03-16,600.1381
2011-03-23,599.7519
2011-03-30,600.0617
2011-04-06,598.8515
2011-04-13,597.6658
2011-04-20,598.4152
2011-04-27,597.442
2011-05-04,596.6005
2011-05-11,596.527
2011-05-18,596.7049
2011-05-25,596.0251
2011-06-01,599.3785
2011-06-08,599.6138
2011-06-15,599.4555
2011-06-22,600.0422
2011-06-29,601.1699
2011-07-06,601.5893
2011-07-13,600.6453
2011-07-20,601.0004
2011-07-27,600.6986
2011-08-03,600.4965
2011-08-10,600.1468
2011-08-17,599.9184
2011-08-24,599.8988
2011-08-31,600.0826
2011-09-07,599.6032
2011-09-14,599.9875
2011-09-21,599.5875
2011-09-28,600.5732
2011-10-05,602.6472
2011-10-12,601.8366
2011-10-19,601.8187
2011-10-26,601.6026
2011-11-02,600.941
2011-11-09,601.5741
2011-11-16,601.7787
2011-11-23,601.8846
2011-11-30,602.4132
2011-12-07,601.3631
2011-12-14,601.7629
2011-12-21,601.498
2011-12-28,602.5465
2012-01-04,603.6859
2012-01-11,601.4096
2012-01-18,600.9173
2012-01-25,598.5044
2012-02-01,600.0457
2012-02-08,599.2108
2012-02-15,598.4971
2012-02-22,597.4172
2012-02-29,600.3717
2012-03-07,599.913
2012-03-14,599.9887
2012-03-21,599.3246
2012-03-28,599.9545
2012-04-04,601.6116
2012-04-11,599.8012
2012-04-18,598.8222
2012-04-25,597.9207
2012-05-02,609.5026
2012-05-09,608.4432
2012-05-16,608.0765
2012-05-23,607.6367
2012-05-30,611.3929
2012-06-06,609.8666
2012-06-13,609.7019
2012-06-20,608.6644
2012-06-27,607.8412
2012-07-04,608.4844
2012-07-11,607.2798
2012-07-18,606.8908
2012-07-25,605.9411
2012-08-01,607.5087
2012-08-08,607.4149
2012-08-15,607.3023
2012-08-22,607.3365
2012-08-29,608.7745
2012-09-05,608.3049
2012-09-12,606.7469
2012-09-19,606.8307
2012-09-26,606.2947
2012-10-03,608.441
2012-10-10,608.4867
2012-10-17,607.529
2012-10-24,607.4654
2012-10-31,609.7982
2012-11-07,609.4344
2012-11-14,609.6134
2012-11-21,608.2672
2012-11-28,609.1947
2012-12-05,606.5174
2012-12-12,606.431
2012-12-19,606.8162
2012-12-26,607.7488
2013-01-02,608.531
2013-01-09,607.2868
2013-01-16,606.1006
2013-01-23,606.8829
2013-01-30,608.9623
2013-02-06,608.6263
2013-02-13,608.9597
2013-02-20,608.2482
2013-02-27,609.8656
2013-03-06,608.0737
2013-03-13,612.6597
2013-03-20,611.7604
2013-03-27,611.3137
2013-04-03,611.8472
2013-04-10,611.956
2013-04-17,612.0078
2013-04-24,611.6895
2013-05-01,611.8722
2013-05-08,612.3135
2013-05-15,612.518
2013-05-22,613.3875
2013-05-29,614.8582
2013-06-05,614.6421
2013-06-12,615.2017
2013-06-19,615.0798
2013-06-26,615.1298
2013-07-03,613.0731
2013-07-10,613.0998
2013-07-17,612.0359
2013-07-24,610.7337
2013-07-31,611.0212
2013-08-07,610.9995
2013-08-14,611.506
2013-08-21,611.3719
2013-08-28,611.5852
2013-09-04,612.2717
2013-09-11,611.4589
2013-09-18,611.4696
2013-09-25,611.1576
2013-10-02,612.9832
2013-10-09,613.2122
2013-10-16,613.4958
2013-10-23,613.9547
2013-10-30,615.7094
2013-11-06,615.4449
2013-11-13,615.8837
2013-11-20,599.5292
2013-11-27,597.7805
2013-12-04,599.2422
2013-12-11,600.0855
2013-12-18,599.8991
2013-12-25,601.446
2014-01-01,600.2309
2014-01-08,600.6677
2014-01-15,599.3963
2014-01-22,600.2141
2014-01-29,601.5378
2014-02-05,602.0336
2014-02-12,601.631
2014-02-19,603.4041
2014-02-26,603.8076
2014-03-05,603.4277
2014-03-12,603.0093
2014-03-19,603.6439
2014-03-26,603.2431
2014-04-02,603.3421
2014-04-09,604.6915
2014-04-16,606.2302
2014-04-23,607.0749
2014-04-30,608.162
2014-05-07,608.6243
2014-05-14,610.3222
2014-05-21,610.0685
2014-05-28,609.8582
2014-06-04,610.3096
2014-06-11,611.4891
2014-06-18,611.1638
2014-06-25,610.8088
2014-07-02,611.3995
2014-07-09,612.4547
2014-07-16,612.826
2014-07-23,613.0664
2014-07-30,614.548
2014-08-06,613.7407
2014-08-13,614.5597
2014-08-20,615.1254
2014-08-27,615.627
2014-09-03,617.8114
2014-09-10,616.8064
2014-09-17,617.3189
2014-09-24,617.0811
2014-10-01,618.5474
2014-10-08,617.998
2014-10-15,618.0181
2014-10-22,619.149
2014-10-29,619.5368
2014-11-05,620.4259
2014-11-12,622.7377
2014-11-19,623.3274
2014-11-26,621.1632
2014-12-03,620.9129
2014-12-10,623.3626
2014-12-17,622.6465
2014-12-24,625.6081
2014-12-31,623.5642
2015-01-07,624.8682
2015-01-14,626.0018
2015-01-21,625.9033
2015-01-28,625.9823
2015-02-04,626.0622
2015-02-11,627.8875
2015-02-18,627.97
2015-02-25,625.8556
2015-03-04,626.4102
2015-03-11,626.1648
2015-03-18,626.1327
2015-03-25,627.1913
2015-04-01,630.1031
2015-04-08,631.3811
2015-04-15,631.3263
2015-04-22,632.2725
2015-04-29,633.4418
2015-05-06,633.4928
2015-05-13,634.2718
2015-05-20,634.0038
2015-05-27,634.3972
2015-06-03,634.0657
2015-06-10,636.1386
2015-06-17,635.8041
2015-06-24,638.4524
2015-07-01,639.2224
2015-07-08,639.9353
2015-07-15,639.9917
2015-07-22,641.3686
2015-07-29,642.6882
2015-08-05,643.8662
2015-08-12,644.8806
2015-08-19,645.7334
2015-08-26,645.6933
2015-09-02,646.8085
2015-09-09,649.3449
2015-09-16,648.8993
2015-09-23,648.9931
2015-09-30,651.1006
2015-10-07,652.1653
2015-10-14,653.4891
2015-10-21,653.9351
2015-10-28,653.579
2015-11-04,655.1575
2015-11-11,655.8896
2015-11-18,657.2783
2015-11-25,657.4979
2015-12-02,656.4277
2015-12-09,657.971
2015-12-16,658.4969
2015-12-23,659.3768
2015-12-30,660.2596
2016-01-06,663.9196
2016-01-13,663.7717
2016-01-20,665.3138
2016-01-27,663.9828
2016-02-03,664.4355
2016-02-10,665.0323
2016-02-17,665.1989
2016-02-24,664.4064
2016-03-02,665.8134
2016-03-09,669.604
2016-03-16,669.7108
2016-03-23,671.6188
2016-03-30,673.9604
2016-04-06,673.6331
2016-04-13,673.1304
2016-04-20,675.3579
2016-04-27,675.8653
2016-05-04,676.5083
2016-05-11,676.499
2016-05-18,677.4638
2016-05-25,676.5503
2016-06-01,678.5596
2016-06-08,680.8392
2016-06-15,682.1241
2016-06-22,692.3731
2016-06-29,694.3926
2016-07-06,695.8883
2016-07-13,696.3018
2016-07-20,697.6598
2016-07-27,697.6418
2016-08-03,698.5077
2016-08-10,699.6425
2016-08-17,700.2691
2016-08-24,701.018
2016-08-31,701.2504
2016-09-07,702.3374
2016-09-14,702.7583
2016-09-21,703.3819
2016-09-28,704.0125
2016-10-05,705.5298
2016-10-12,705.656
2016-10-19,706.4374
2016-10-26,705.6126
2016-11-02,707.011
2016-11-09,707.6058
2016-11-16,707.7778
2016-11-23,709.0396
2016-11-30,712.4342
2016-12-07,711.6113
2016-12-14,712.4899
2016-12-21,711.5684
2016-12-28,712.0347
2017-01-04,714.1783
2017-01-11,712.7544
2017-01-18,714.7758
2017-01-25,713.0786
2017-02-01,714.5326
2017-02-08,715.4971
2017-02-15,714.7145
2017-02-22,716.3349
2017-03-01,716.7446
2017-03-08,716.5386
2017-03-15,716.001
2017-03-22,717.1047
2017-03-29,716.799
2017-04-05,717.4246
2017-04-12,719.3604
2017-04-19,719.0603
2017-04-26,717.8975
2017-05-03,718.1778
2017-05-10,717.8522
2017-05-17,718.5036
2017-05-24,719.5901
2017-05-31,720.9849
2017-06-07,721.2698
2017-06-14,722.6442
2017-06-21,725.8399
2017-06-28,726.6495
2017-07-05,728.3267
2017-07-12,728.5682
2017-07-19,728.8141
2017-07-26,728.486
2017-08-02,728.9985
2017-08-09,730.3787
2017-08-16,729.7187
2017-08-23,731.2024
2017-08-30,732.3696
2017-09-06,733.5447
2017-09-13,736.8663
2017-09-20,738.1384
2017-09-27,737.9003
2017-10-04,739.0817
2017-10-11,739.1266
2017-10-18,754.368
2017-10-25,754.2925
2017-11-01,757.2799
2017-11-08,760.6961
2017-11-15,761.5182
2017-11-22,763.0909
2017-11-29,766.0753
2017-12-06,764.1318
2017-12-13,763.8157
2017-12-20,763.9033
2017-12-27,763.8515
2018-01-03,766.4516
2018-01-10,767.3621
2018-01-17,768.6746
2018-01-24,766.6101
2018-01-31,768.3201
2018-02-07,768.2057
2018-02-14,768.2591
2018-02-21,767.9064
2018-02-28,768.1753
2018-03-07,769.9483
2018-03-14,768.5313
2018-03-21,769.0555
2018-03-28,769.7574
2018-04-04,784.7017
2018-04-11,784.1942
2018-04-18,784.8112
2018-04-25,785.0563
2018-05-02,784.3831
2018-05-09,785.2148
2018-05-16,785.9118
2018-05-23,786.6532
2018-05-30,790.414
2018-06-06,790.7774
2018-06-13,792.4275
2018-06-20,792.469
2018-06-27,793.8668
2018-07-04,793.8371
2018-07-11,791.9813
2018-07-18,793.0934
2018-07-25,793.8407
2018-08-01,793.5446
2018-08-08,796.0774
2018-08-15,795.9919
2018-08-22,797.4335
2018-08-29,798.8839
2018-09-05,800.0507
2018-09-12,799.0705
2018-09-19,800.1189
2018-09-26,799.9773
2018-10-03,801.4968
2018-10-10,802.4529
2018-10-17,802.1623
2018-10-24,803.6588
2018-10-31,806.9236
2018-11-07,805.5988
2018-11-14,808.1117
2018-11-21,809.7788
2018-11-28,813.1462
2018-12-05,809.1872
2018-12-12,808.6829
2018-12-19,805.8846
2018-12-26,806.4986
2019-01-02,805.2992
2019-01-09,807.1897
2019-01-16,805.9152
2019-01-23,807.976
2019-01-30,810.4587
2019-02-06,810.1666
2019-02-13,810.0283
2019-02-20,811.3774
2019-02-27,813.6209
2019-03-06,813.2153
2019-03-13,813.8132
2019-03-20,814.2521
2019-03-27,814.9282
2019-04-03,814.225
2019-04-10,814.1126
2019-04-17,816.5161
2019-04-24,817.1417
2019-05-01,816.8787
2019-05-08,817.7006
2019-05-15,817.0832
2019-05-22,817.9014
2019-05-29,821.3209
2019-06-05,822.3166
2019-06-12,824.2993
2019-06-19,823.6425
2019-06-26,824.2645
2019-07-03,823.2897
2019-07-10,824.9007
2019-07-17,824.4819
2019-07-24,826.5316
2019-07-31,829.7801
2019-08-07,830.4137
2019-08-14,831.2934
2019-08-21,832.2007
2019-08-28,832.0722
2019-09-04,834.4098
2019-09-11,831.9306
2019-09-18,832.9269
2019-09-25,832.9455
2019-10-02,832.8258
2019-10-09,833.1508
2019-10-16,841.9395
2019-10-23,842.234
2019-10-30,845.4725
2019-11-06,844.3441
2019-11-13,845.7106
2019-11-20,844.3171
2019-11-27,841.0644
2019-12-04,843.7422
2019-12-11,844.7267
2019-12-18,842.8966
2019-12-25,845.9658
2020-01-01,844.7343
2020-01-08,845.8964
2020-01-15,844.3342
2020-01-22,846.6752
2020-01-29,846.4368
2020-02-05,845.7602
2020-02-12,846.0294
2020-02-19,847.7067
2020-02-26,849.4948
2020-03-04,856.5614
2020-03-11,856.7652
2020-03-18,854.8476
2020-03-25,843.6191
2020-04-01,831.5077
2020-04-08,815.6433
2020-04-15,799.9091
2020-04-22,785.3077
2020-04-29,780.5321
2020-05-06,773.4743
2020-05-13,770.1709
2020-05-20,766.4099
2020-05-27,763.6
2020-06-03,762.0747
2020-06-10,763.5016
2020-06-17,761.4786
2020-06-24,762.8673
2020-07-01,760.4503
2020-07-08,762.0675
2020-07-15,761.0388
2020-07-22,760.8995
2020-07-29,759.4649
2020-08-05,758.6361
2020-08-12,756.97
2020-08-19,756.2886
2020-08-26,755.5059
2020-09-02,754.0508
2020-09-09,754.7489
2020-09-16,754.0746
2020-09-23,754.0301
2020-09-30,756.6625
2020-10-07,753.7462
2020-10-14,755.4134
2020-10-21,755.6444
2020-10-28,755.0794
2020-11-04,754.994
2020-11-11,756.0037
2020-11-18,753.8092
2020-11-25,755.4485
2020-12-02,753.2089
2020-12-09,753.85
2020-12-16,753.4338
2020-12-23,752.26
2020-12-30,746.853
2021-01-06,746.0047
2021-01-13,744.2136
2021-01-20,744.0091
2021-01-27,741.3491
2021-02-03,740.3642
2021-02-10,741.4144
2021-02-17,741.7523
2021-02-24,743.2092
2021-03-03,745.3722
