DATE,FLINSUREDUR
2011-03-05,2.64
2011-03-12,2.61
2011-03-19,2.53
2011-03-26,2.48
2011-04-02,2.43
2011-04-09,2.32
2011-04-16,2.41
2011-04-23,2.36
2011-04-30,2.41
2011-05-07,2.34
2011-05-14,2.41
2011-05-21,2.34
2011-05-28,2.35
2011-06-04,2.30
2011-06-11,2.35
2011-06-18,2.44
2011-06-25,2.50
2011-07-02,2.47
2011-07-09,2.59
2011-07-16,2.69
2011-07-23,2.68
2011-07-30,2.30
2011-08-06,2.46
2011-08-13,2.36
2011-08-20,2.32
2011-08-27,2.24
2011-09-03,2.15
2011-09-10,2.17
2011-09-17,2.15
2011-09-24,2.13
2011-10-01,2.03
2011-10-08,2.07
2011-10-15,2.10
2011-10-22,2.03
2011-10-29,2.04
2011-11-05,1.89
2011-11-12,2.05
2011-11-19,1.77
2011-11-26,2.17
2011-12-03,1.89
2011-12-10,2.03
2011-12-17,1.95
2011-12-24,2.06
2011-12-31,1.89
2012-01-07,2.01
2012-01-14,1.90
2012-01-21,1.97
2012-01-28,2.01
2012-02-04,1.91
2012-02-11,1.87
2012-02-18,1.88
2012-02-25,1.86
2012-03-03,1.85
2012-03-10,1.82
2012-03-17,1.83
2012-03-24,1.80
2012-03-31,1.79
2012-04-07,1.78
2012-04-14,1.82
2012-04-21,1.79
2012-04-28,1.83
2012-05-05,1.78
2012-05-12,1.86
2012-05-19,1.81
2012-05-26,1.86
2012-06-02,1.85
2012-06-09,1.91
2012-06-16,1.95
2012-06-23,2.02
2012-06-30,1.94
2012-07-07,2.06
2012-07-14,2.06
2012-07-21,2.05
2012-07-28,2.07
2012-08-04,2.02
2012-08-11,2.07
2012-08-18,2.01
2012-08-25,2.03
2012-09-01,1.90
2012-09-08,1.98
2012-09-15,1.91
2012-09-22,1.94
2012-09-29,1.85
2012-10-06,1.87
2012-10-13,1.84
2012-10-20,1.81
2012-10-27,1.79
2012-11-03,1.74
2012-11-10,1.74
2012-11-17,1.35
2012-11-24,2.10
2012-12-01,1.68
2012-12-08,1.74
2012-12-15,1.67
2012-12-22,1.65
2012-12-29,1.70
2013-01-05,1.70
2013-01-12,1.69
2013-01-19,1.69
2013-01-26,1.70
2013-02-02,1.66
2013-02-09,1.64
2013-02-16,1.63
2013-02-23,1.62
2013-03-02,1.59
2013-03-09,1.56
2013-03-16,1.56
2013-03-23,1.53
2013-03-30,1.51
2013-04-06,1.50
2013-04-13,1.53
2013-04-20,1.49
2013-04-27,1.53
2013-05-04,1.47
2013-05-11,1.53
2013-05-18,1.49
2013-05-25,1.55
2013-06-01,1.51
2013-06-08,1.52
2013-06-15,1.58
2013-06-22,1.60
2013-06-29,1.50
2013-07-06,1.64
2013-07-13,1.63
2013-07-20,1.65
2013-07-27,1.67
2013-08-03,1.65
2013-08-10,1.65
2013-08-17,1.63
2013-08-24,1.61
2013-08-31,1.51
2013-09-07,1.55
2013-09-14,1.52
2013-09-21,1.53
2013-09-28,1.44
2013-10-05,1.37
2013-10-12,1.40
2013-10-19,1.34
2013-10-26,1.41
2013-11-02,1.42
2013-11-09,1.50
2013-11-16,1.52
2013-11-23,1.31
2013-11-30,1.55
2013-12-07,1.38
2013-12-14,1.42
2013-12-21,1.28
2013-12-28,1.41
2014-01-04,1.46
2014-01-11,1.44
2014-01-18,1.60
2014-01-25,1.44
2014-02-01,1.48
2014-02-08,1.37
2014-02-15,1.43
2014-02-22,1.36
2014-03-01,1.38
2014-03-08,1.31
2014-03-15,1.36
2014-03-22,1.32
2014-03-29,1.32
2014-04-05,1.25
2014-04-12,1.36
2014-04-19,1.30
2014-04-26,1.33
2014-05-03,1.30
2014-05-10,1.32
2014-05-17,1.27
2014-05-24,1.24
2014-05-31,1.21
2014-06-07,1.20
2014-06-14,1.26
2014-06-21,1.25
2014-06-28,1.23
2014-07-05,1.28
2014-07-12,1.27
2014-07-19,1.33
2014-07-26,1.31
2014-08-02,1.33
2014-08-09,1.30
2014-08-16,1.30
2014-08-23,1.25
2014-08-30,1.23
2014-09-06,1.23
2014-09-13,1.19
2014-09-20,1.20
2014-09-27,1.14
2014-10-04,1.13
2014-10-11,1.11
2014-10-18,1.10
2014-10-25,1.06
2014-11-01,1.05
2014-11-08,1.02
2014-11-15,1.02
2014-11-22,0.92
2014-11-29,1.09
2014-12-06,0.95
2014-12-13,1.00
2014-12-20,0.87
2014-12-27,1.34
2015-01-03,0.97
2015-01-10,0.97
2015-01-17,0.97
2015-01-24,0.96
2015-01-31,0.94
2015-02-07,0.90
2015-02-14,0.91
2015-02-21,0.78
2015-02-28,0.87
2015-03-07,0.83
2015-03-14,0.86
2015-03-21,0.83
2015-03-28,0.81
2015-04-04,0.79
2015-04-11,0.81
2015-04-18,0.80
2015-04-25,0.82
2015-05-02,0.80
2015-05-09,0.78
2015-05-16,0.79
2015-05-23,0.79
2015-05-30,0.80
2015-06-06,0.80
2015-06-13,0.85
2015-06-20,0.88
2015-06-27,0.77
2015-07-04,0.89
2015-07-11,0.90
2015-07-18,0.94
2015-07-25,0.94
2015-08-01,0.95
2015-08-08,0.92
2015-08-15,0.93
2015-08-22,0.88
2015-08-29,0.87
2015-09-05,0.82
2015-09-12,0.87
2015-09-19,0.81
2015-09-26,0.83
2015-10-03,0.76
2015-10-10,0.76
2015-10-17,0.76
2015-10-24,0.73
2015-10-31,0.72
2015-11-07,0.68
2015-11-14,0.72
2015-11-21,0.59
2015-11-28,0.76
2015-12-05,0.63
2015-12-12,0.70
2015-12-19,0.58
2015-12-26,0.70
2016-01-02,0.64
2016-01-09,0.66
2016-01-16,0.67
2016-01-23,0.67
2016-01-30,0.67
2016-02-06,0.64
2016-02-13,0.66
2016-02-20,0.63
2016-02-27,0.63
2016-03-05,0.61
2016-03-12,0.62
2016-03-19,0.59
2016-03-26,0.62
2016-04-02,0.58
2016-04-09,0.60
2016-04-16,0.61
2016-04-23,0.59
2016-04-30,0.58
2016-05-07,0.58
2016-05-14,0.60
2016-05-21,0.59
2016-05-28,0.61
2016-06-04,0.62
2016-06-11,0.64
2016-06-18,0.67
2016-06-25,0.69
2016-07-02,0.66
2016-07-09,0.69
2016-07-16,0.73
2016-07-23,0.72
2016-07-30,0.73
2016-08-06,0.72
2016-08-13,0.74
2016-08-20,0.69
2016-08-27,0.69
2016-09-03,0.67
2016-09-10,0.67
2016-09-17,0.65
2016-09-24,0.65
2016-10-01,0.57
2016-10-08,0.63
2016-10-15,0.58
2016-10-22,0.58
2016-10-29,0.55
2016-11-05,0.56
2016-11-12,0.56
2016-11-19,0.49
2016-11-26,0.60
2016-12-03,0.51
2016-12-10,0.56
2016-12-17,0.52
2016-12-24,0.55
2016-12-31,0.54
2017-01-07,0.54
2017-01-14,0.56
2017-01-21,0.56
2017-01-28,0.55
2017-02-04,0.55
2017-02-11,0.54
2017-02-18,0.53
2017-02-25,0.52
2017-03-04,0.51
2017-03-11,0.51
2017-03-18,0.50
2017-03-25,0.52
2017-04-01,0.49
2017-04-08,0.49
2017-04-15,0.53
2017-04-22,0.50
2017-04-29,0.53
2017-05-06,0.50
2017-05-13,0.54
2017-05-20,0.52
2017-05-27,0.55
2017-06-03,0.54
2017-06-10,0.58
2017-06-17,0.61
2017-06-24,0.64
2017-07-01,0.60
2017-07-08,0.65
2017-07-15,0.65
2017-07-22,0.66
2017-07-29,0.66
2017-08-05,0.66
2017-08-12,0.66
2017-08-19,0.65
2017-08-26,0.63
2017-09-02,0.56
2017-09-09,0.54
2017-09-16,0.58
2017-09-23,0.58
2017-09-30,0.62
2017-10-07,0.59
2017-10-14,0.61
2017-10-21,0.56
2017-10-28,0.57
2017-11-04,0.54
2017-11-11,0.57
2017-11-18,0.46
2017-11-25,0.60
2017-12-02,0.48
2017-12-09,0.57
2017-12-16,0.50
2017-12-23,0.53
2017-12-30,0.51
2018-01-06,0.54
2018-01-13,0.52
2018-01-20,0.55
2018-01-27,0.51
2018-02-03,0.54
2018-02-10,0.49
2018-02-17,0.51
2018-02-24,0.48
2018-03-03,0.49
2018-03-10,0.47
2018-03-17,0.48
2018-03-24,0.47
2018-03-31,0.46
2018-04-07,0.45
2018-04-14,0.47
2018-04-21,0.45
2018-04-28,0.45
2018-05-05,0.45
2018-05-12,0.46
2018-05-19,0.45
2018-05-26,0.46
2018-06-02,0.47
2018-06-09,0.48
2018-06-16,0.53
2018-06-23,0.52
2018-06-30,0.52
2018-07-07,0.53
2018-07-14,0.57
2018-07-21,0.55
2018-07-28,0.57
2018-08-04,0.54
2018-08-11,0.56
2018-08-18,0.52
2018-08-25,0.52
2018-09-01,0.49
2018-09-08,0.49
2018-09-15,0.48
2018-09-22,0.47
2018-09-29,0.45
2018-10-06,0.44
2018-10-13,0.44
2018-10-20,0.43
2018-10-27,0.48
2018-11-03,0.47
2018-11-10,0.49
2018-11-17,0.41
2018-11-24,0.51
2018-12-01,0.44
2018-12-08,0.49
2018-12-15,0.44
2018-12-22,0.46
2018-12-29,0.44
2019-01-05,0.47
2019-01-12,0.46
2019-01-19,0.47
2019-01-26,0.44
2019-02-02,0.45
2019-02-09,0.43
2019-02-16,0.45
2019-02-23,0.43
2019-03-02,0.42
2019-03-09,0.41
2019-03-16,0.41
2019-03-23,0.41
2019-03-30,0.39
2019-04-06,0.39
2019-04-13,0.40
2019-04-20,0.40
2019-04-27,0.39
2019-05-04,0.40
2019-05-11,0.40
2019-05-18,0.40
2019-05-25,0.41
2019-06-01,0.41
2019-06-08,0.41
2019-06-15,0.46
2019-06-22,0.46
2019-06-29,0.44
2019-07-06,0.47
2019-07-13,0.49
2019-07-20,0.49
2019-07-27,0.50
2019-08-03,0.50
2019-08-10,0.49
2019-08-17,0.51
2019-08-24,0.48
2019-08-31,0.47
2019-09-07,0.48
2019-09-14,0.46
2019-09-21,0.46
2019-09-28,0.44
2019-10-05,0.43
2019-10-12,0.43
2019-10-19,0.42
2019-10-26,0.41
2019-11-02,0.41
2019-11-09,0.40
2019-11-16,0.42
2019-11-23,0.36
2019-11-30,0.45
2019-12-07,0.39
2019-12-14,0.43
2019-12-21,0.37
2019-12-28,0.42
2020-01-04,0.41
2020-01-11,0.40
2020-01-18,0.39
2020-01-25,0.42
2020-02-01,0.39
2020-02-08,0.40
2020-02-15,0.39
2020-02-22,0.39
2020-02-29,0.37
2020-03-07,0.37
2020-03-14,0.39
2020-03-21,0.41
2020-03-28,1.15
2020-04-04,3.95
2020-04-11,2.06
2020-04-18,6.29
2020-04-25,5.17
2020-05-02,12.05
2020-05-09,25.04
2020-05-16,6.16
2020-05-23,7.34
2020-05-30,11.25
2020-06-06,10.71
2020-06-13,11.59
2020-06-20,8.63
2020-06-27,6.77
2020-07-04,10.48
2020-07-11,8.57
2020-07-18,7.91
2020-07-25,7.23
2020-08-01,6.5
2020-08-08,5.87
2020-08-15,5.26
2020-08-22,5.22
2020-08-29,4.7
2020-09-05,4.74
2020-09-12,4.28
2020-09-19,4.27
2020-09-26,3.85
2020-10-03,3.42
2020-10-10,3.28
2020-10-17,3.22
2020-10-24,2.43
2020-10-31,2.35
2020-11-07,2.13
2020-11-14,2.12
2020-11-21,1.62
2020-11-28,2.13
2020-12-05,1.76
2020-12-12,1.84
2020-12-19,1.6
2020-12-26,1.48
2021-01-02,2.05
2021-01-09,1.85
2021-01-16,1.83
2021-01-23,2.04
2021-01-30,2.2
2021-02-06,2.69
2021-02-13,1.9
2021-02-20,1.84
2021-02-27,1.66
